ID,sky_x,sky_y,slit_x,frd_throughput,flux_throughput
141,-2.41,0.56,-40.46,0.73,0.82
142,-2.03,0.56,-50.42,0.74,0.81
143,-1.67,0.54,-8.43,0.70,0.83
144,-1.29,0.54,-10.42,0.72,0.82
145,-0.93,0.54,-13.60,0.73,0.82
146,-0.55,0.54,-13.17,0.72,0.82
147,-0.19,0.53,-24.33,0.69,0.80
148,0.20,0.53,42.98,0.73,0.82
149,0.57,0.53,27.99,0.71,0.83
150,0.94,0.53,45.92,0.72,0.81
151,1.28,0.53,33.83,0.70,0.83
152,1.67,0.53,34.26,0.72,0.82
153,2.04,0.53,23.58,0.73,0.81
154,2.42,0.53,15.63,0.71,0.81
155,2.78,0.53,7.27,0.67,0.83
156,3.15,0.53,12.45,0.67,0.82
157,2.95,0.86,6.05,0.66,0.82
158,2.58,0.86,5.26,0.67,0.81
159,2.22,0.86,17.19,0.72,0.82
160,1.86,0.86,12.83,0.68,0.79
161,1.49,0.86,37.98,0.73,0.83
162,1.12,0.86,35.48,0.71,0.83
163,0.76,0.88,52.17,0.76,0.76
164,0.38,0.88,40.07,0.69,0.84
165,0.00,0.88,-17.57,0.70,0.82
166,-0.36,0.88,-15.58,0.71,0.83
167,-0.73,0.88,-15.98,0.73,0.82
168,-1.11,0.88,-4.05,0.71,0.83
169,-1.48,0.88,-5.25,0.68,0.83
170,-1.83,0.90,-48.75,0.71,0.81
171,-2.22,0.90,-45.85,0.73,0.80
172,-2.58,0.90,-34.65,0.68,0.78
173,-2.94,0.90,-34.24,0.67,0.79
174,-2.77,1.23,-36.31,0.68,0.80
175,-2.40,1.23,-29.69,0.71,0.80
176,-2.02,1.21,-48.35,0.69,0.81
177,-1.65,1.21,-47.10,0.74,0.81
178,-1.27,1.21,-6.44,0.72,0.82
179,-0.92,1.18,-7.23,0.70,0.83
180,-0.54,1.18,-15.18,0.72,0.83
181,-0.17,1.18,-19.56,0.71,0.82
182,0.21,1.18,43.41,0.73,0.82
183,0.56,1.18,42.58,0.65,0.80
184,0.94,1.18,39.63,0.73,0.83
185,1.31,1.18,31.72,0.72,0.84
186,1.67,1.18,22.75,0.71,0.82
187,2.05,1.18,18.39,0.72,0.83
188,2.41,1.18,11.63,0.68,0.82
189,2.79,1.18,11.23,0.69,0.82
190,2.59,1.51,5.65,0.63,0.82
191,2.22,1.51,10.44,0.62,0.82
192,1.84,1.51,15.22,0.70,0.81
193,1.48,1.51,20.38,0.70,0.82
194,1.11,1.51,38.39,0.69,0.82
195,0.75,1.51,37.56,0.71,0.83
196,0.38,1.51,32.57,0.66,0.83
197,0.01,1.51,-6.04,0.68,0.82
198,-0.37,1.51,-2.46,0.72,0.82
199,-0.72,1.51,-1.26,0.71,0.83
200,-1.09,1.51,-46.26,0.68,0.78
201,-1.46,1.53,-50.01,0.67,0.76
202,-1.82,1.53,-42.11,0.66,0.78
203,-2.20,1.53,-35.07,0.69,0.79
204,-2.57,1.56,-33.40,0.71,0.78
205,-2.38,1.84,-36.72,0.67,0.79
206,-2.01,1.84,-35.48,0.70,0.78
207,-1.65,1.84,-42.54,0.66,0.70
208,-1.28,1.84,-40.87,0.69,0.77
209,-0.91,1.84,-42.94,0.72,0.81
210,-0.54,1.84,-4.45,0.69,0.82
211,-0.16,1.84,-0.87,0.71,0.81
212,0.20,1.84,38.80,0.68,0.82
213,0.58,1.84,37.14,0.66,0.83
214,0.95,1.84,18.78,0.68,0.82
215,1.31,1.84,24.76,0.69,0.82
216,1.67,1.84,24.40,0.72,0.77
217,2.04,1.84,12.03,0.62,0.74
218,2.41,1.84,8.45,0.65,0.77
221,-17.64,-0.66,39.22,0.71,0.76
223,-16.93,-0.70,42.15,0.70,0.78
225,-16.19,-0.70,41.32,0.75,0.80
226,-16.02,-0.36,41.74,0.69,0.83
227,-16.40,-0.36,40.90,0.74,0.82
230,-17.50,-0.31,25.94,0.70,0.79
231,-17.84,-0.36,14.41,0.75,0.82
232,-18.24,-0.36,13.62,0.73,0.83
233,-18.60,-0.36,3.65,0.69,0.82
236,-18.02,-0.05,13.22,0.71,0.82
239,-16.57,-0.05,44.24,0.66,0.81
244,-16.76,0.28,40.48,0.74,0.81
245,-17.22,0.23,32.15,0.72,0.82
246,-17.85,0.28,14.02,0.62,0.81
249,-18.40,0.61,4.84,0.71,0.82
252,-17.31,0.56,36.72,0.75,0.81
256,16.36,-0.83,-16.77,0.69,0.80
258,17.09,-0.83,-20.75,0.68,0.79
260,17.83,-0.83,-6.83,0.67,0.81
263,18.74,-0.52,-38.37,0.68,0.77
264,18.36,-0.52,-51.28,0.67,0.79
265,18.00,-0.52,-50.87,0.63,0.79
267,17.27,-0.52,-21.13,0.61,0.80
269,16.53,-0.52,-23.13,0.70,0.79
270,16.17,-0.52,-17.98,0.67,0.80
273,16.71,-0.22,-18.39,0.63,0.80
276,17.81,-0.22,-3.27,0.67,0.81
277,18.19,-0.22,-49.18,0.63,0.79
279,18.91,-0.22,-37.13,0.64,0.63
280,18.73,0.11,-39.63,0.68,0.75
283,17.60,0.11,-2.06,0.63,0.79
285,16.88,0.12,-14.41,0.65,0.81
291,17.45,0.44,-2.86,0.64,0.78
293,18.55,0.44,-39.22,0.65,0.77
